Create time for UNORDERED TABLE: 138.419seconds
Create time for ORDERED TABLE: 7.631seconds
Create time for BINARY TREE: 2.405seconds
Create time for AVL: 2.205seconds
Create time for HASH TABLE: 0.178seconds
Create time for UNORDERED MAP: 0.158seconds
florence-1869 1 1 1 1 1 1 
it-as 25 25 25 25 25 25 
way-is 3 3 3 3 3 3 
interval-which 1 1 1 1 1 1 
young-one 4 4 4 4 4 4 
an-equal 21 21 21 21 21 21 
by-so 6 6 6 6 8 5 
close-contact 2 2 2 2 2 2 
are-wide 3 3 3 3 3 3 
top-of 74 74 74 74 74 74 
and-its 51 51 51 51 1 50 
turns-its 1 1 1 1 1 1 
onto-the 5 5 5 5 5 5 
421-young 1 1 1 1 1 1 
423-426 2 2 2 2 2 2 
will-see 75 75 75 75 11 74 
will-have 44 44 44 44 44 44 
happens-when 5 5 5 5 5 5 
the-under 14 14 14 14 14 14 
the-leaves 39 39 39 39 39 39 
will-be 467 467 467 467 467 467 
darkness-431 1 1 1 1 1 1 
without-shadow 3 3 3 3 3 3 
spring-from 6 6 6 6 6 5 
the-leaves 39 39 39 39 39 39 
adds-to 1 1 1 1 1 1 
greenish-yellow 2 2 2 2 2 2 
of-a 546 546 546 546 546 546 
it-does 29 29 29 29 29 29 
shadow-of 38 38 38 38 38 38 
that-have 17 17 17 17 17 17 
eye-which 24 24 24 24 24 24 
is-nearer 23 23 23 23 23 23 
the-two 106 106 106 106 106 106 
eye-display 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
transparent-leaves 3 3 3 3 3 3 
darkness-of 20 20 20 20 20 20 
the-east 69 68 69 69 2 68 
eastern-half 1 1 1 1 1 1 
the-light 248 248 248 248 248 248 
below-with 1 1 1 1 1 1 
the-7th 11 11 11 11 11 11 
east-when 2 2 2 2 2 2 
the-south 39 39 39 39 39 39 
is-an 21 21 21 21 21 21 
conceal-these 1 1 1 1 1 1 
remains-451 1 1 1 1 1 1 
the-tree 42 42 42 42 42 42 
mass-of 31 31 31 31 31 31 
seen-against 15 15 15 15 15 15 
diagrams-which 2 2 2 2 2 2 
the-distance 68 68 68 68 68 68 
tone-and 5 5 5 5 5 5 
at-a 156 156 156 156 156 156 
little-from 3 3 3 3 3 3 
b-c 60 60 60 60 60 60 
of-a 546 546 546 546 546 546 
green-on 1 1 1 1 1 1 
from-the 826 826 826 826 826 826 
not-dark 1 1 1 1 1 1 
in-itself 42 42 42 42 42 42 
of-the 4416 4416 4416 4416 4416 4416 
the-atmosphere 102 102 102 102 102 102 
scene-in 1 1 1 1 1 1 
the-darkest 13 13 13 13 13 13 
with-leaves 4 4 4 4 4 4 
seen-from 33 33 33 33 33 33 
hill-the 3 3 3 3 3 3 
are-violet 1 1 1 1 1 1 
western-will 1 1 1 1 1 1 
are-higher 6 6 6 6 6 6 
a-lower 2 2 2 2 2 2 
sun-which 10 10 10 10 10 10 
h-looking 1 1 1 1 1 1 
is-that 105 105 105 105 105 105 
not-be 62 62 62 62 62 62 
leaves-towards 1 1 1 1 1 1 
those-on 7 7 7 7 7 7 
they-can 9 9 9 9 9 9 
hand-portion 1 1 1 1 1 1 
totally-effaced 1 1 1 1 1 1 
to-the 1379 1379 1379 1379 1379 1379 
situated-as 2 2 2 2 2 2 
the-cloud 6 6 6 6 6 6 
form-but 5 5 5 5 5 5 
edges-of 32 32 32 32 32 32 
from-hind 1 1 1 1 1 1 
rain-is 3 3 3 3 3 3 
it-is 687 687 687 687 687 687 
materials-collected 1 1 1 1 1 1 
as-it 139 139 139 139 139 139 
this-we 11 11 11 11 11 11 
of-aerial 6 6 6 6 6 6 
of-the 4416 4416 4416 4416 4416 4416 
days-extremely 1 1 1 1 1 1 
milano-in 1 1 1 1 1 1 
prepared-at 1 1 1 1 1 1 
forms-then 1 1 1 1 1 1 
good-masters 2 2 2 2 2 2 
486-of 1 1 1 1 1 1 
the-ms 36 36 36 36 36 36 
pen-and 30 30 30 30 6 29 
10-26 1 1 1 1 1 1 
nude-figures 3 3 3 3 3 3 
expanded-into 1 1 1 1 1 1 
next-according 1 1 1 1 1 1 
the-body 151 151 151 151 151 151 
of-good 8 8 8 8 8 8 
rules-should 1 1 1 1 1 1 
word-line 1 1 1 1 1 1 
throw-away 2 2 2 2 2 2 
note-in 6 6 6 6 6 6 
belong-to 15 15 15 15 15 15 
difficult-to 20 20 20 20 20 20 
keep-his 2 2 2 2 2 2 
